YEAR;COUNTRY;SYS02;SYS03;SE005;SE010;SE011;SE015;SE016;SE020;SE021;SE022;SE022D;SE022N;SE025;SE026;SE027;SE028;SE030;SE035;SE041;SE042;SE046;SE050;SE054;SE055;SE060;SE065;SE071;SE072;SE073;SE074;SE075;SE080;SE085;SE086;SE087;SE090;SE095;SE100;SE105;SE110;SE110D;SE110N;SE115;SE115D;SE115N;SE120;SE120D;SE120N;SE125;SE125D;SE125N;SE126;SE126D;SE126N;SE127;SE127D;SE127N;SE131;SE132;SE132D;SE132N;SE135;SE136;SE136D;SE136N;SE140;SE145;SE146;SE150;SE155;SE160;SE165;SE170;SE175;SE180;SE185;SE190;SE195;SE200;SE206;SE207;SE207D;SE207N;SE211;SE216;SE220;SE225;SE230;SE235;SE240;SE245;SE251;SE256;SE260;SE265;SE270;SE275;SE281;SE284;SE284D;SE284N;SE285;SE290;SE295;SE296;SE297;SE298;SE300;SE305;SE309;SE309D;SE309N;SE310;SE315;SE320;SE325;SE330;SE331;SE332;SE336;SE340;SE345;SE350;SE356;SE360;SE365;SE370;SE375;SE380;SE381;SE390;SE395;SE405;SE406;SE407;SE408;SE409;SE410;SE415;SE420;SE425;SE425D;SE425N;SE430;SE430D;SE430N;SE436;SE437;SE441;SE446;SE447;SE448;SE450;SE455;SE460;SE462;SE465;SE470;SE475;SE476;SE480;SE485;SE490;SE495;SE501;SE506;SE510;SE516;SE521;SE526;SE530;SE532;SE532D;SE532N;SE600;SE605;SE606;SE610;SE611;SE612;SE613;SE615;SE616;SE617;SE618;SE619;SE621;SE622;SE623;SE624;SE625;SE626;SE630;SE631;SE632;SE640;SE650;SE699;SE700;SE705;SE710;SE715;SE720;SE725;SE730;SE750;SE765;SE766;SE770
1989;(ALL) EU;4146310;50000 - <60000;20.3;1.56;3463.27;1.32;2936.30;0.24;526.98;;0.00;0.00;23.00;13.73;1.95;7.33;9.82;7.34;2.03;0.00;0.25;0.70;1.25;0.55;0.69;0.01;10.42;0.93;0.00;0.93;1.07;22.19;5.32;0.00;0.00;7.83;2.44;5.13;1.38;58.65;2.69;158.05;80.42;0.80;64.28;1.42;10.50;14.93;5006.38;5.32;26630.90;;0.00;0.00;;0.00;0.00;43810;1.39;31537.41;43810.20;21176;960.19;22.01;21134.47;6590;411;0;925;1054;937;548;3639;1269;425;2976;814;903;684;21137;951.83;22.19;21125.06;447;8604;5111;4695;914;579;496;481;257;1497;483;1939;31537;21192;14494;247.89;23.00;5700.85;1417;123;2248;;;;1321;722;395.39;22.19;8775.39;4433;1316;3487;439;859;7;0;6698;2141;1481;1411;1665;5251;5095;2302;1266;1526;0;567;227;77;234;17;174;0;23011;17761;12743;11352.26;1.56;17760.54;9591.20;1.32;12677.69;161151;157074;134174;85932;75170.591825;2448.5037639;20238;18365;9639;0;26977;7432;4983;0;14563;23700;17368;6332;137450;3618;83354;5115;-136;16598;12145;0.08;161150.80;12144.65;393;733;1014.01;92;0;0;92;276;-4;99;179;3;0;0;0;0;29;70;0;0;0;0;0;4;0;0;0;34.90;316.56;9.68;0;0;0;0;0
1989;(BE) Belgium;49950;1000 - <2000;51.8;1.71;4768.69;1.52;4329.95;0.19;438.74;;0.00;0.00;26.33;14.95;0.27;11.11;19.81;6.63;3.35;0.00;0.57;0.00;0.27;0.20;0.00;0.08;15.23;0.01;0.00;0.01;0.00;76.85;16.64;0.00;0.00;25.07;0.07;29.82;5.18;74.58;4.19;312.46;100.53;0.28;27.81;2.72;15.18;41.28;4565.97;16.64;75965.68;;0.00;0.00;;0.00;0.00;114518;1.54;74159.23;114517.98;34844;1312.73;26.13;34298.85;7897;88;0;3007;5826;163;223;11997;2081;0;0;0;15;3547;78781;1025.16;76.85;78780.95;4917;22550;23300;27010;29;3160;2247;17;469;893;219;2713;74159;55784;44895;432.04;26.33;11376.95;3087;109;4479;;;;2461;1502;434.18;76.85;33365.68;11217;1937;19071;503;3078;0;0;10889;3391;2869;3252;1377;8476;9899;2062;2621;5216;0;342;2180;-1358;29;0;1387;0;62261;53785;42528;31481.08;1.71;53784.89;28048.51;1.52;42527.61;217693;202375;171612;68032;61867.694846;0;43759;22603;37218;0;46080;33235;3720;0;9125;62408;62216;192;155285;11124;147281;18488;10012;45396;32936;0.15;217692.65;32936.15;3527;1689;1270.81;0;0;0;0;-237;-237;0;0;0;0;0;0;0;0;1926;0;0;0;0;0;0;0;0;0;0.00;342.53;0.00;0;0;0;0;0
1989;(DE) Germany;329050;4000 - <5000;33.5;1.68;3989.72;1.40;3321.89;0.28;667.83;;0.00;0.00;31.05;20.08;0.38;10.59;13.34;12.59;3.34;0.00;0.12;0.24;0.14;0.11;0.00;0.03;14.28;0.32;0.00;0.32;3.07;46.77;13.54;0.00;0.00;15.67;0.13;16.64;0.66;59.58;4.95;295.12;72.44;0.45;32.37;2.07;14.11;29.16;4978.08;13.54;67424.38;;0.00;0.00;;0.00;0.00;85739;1.24;69404.82;85739.38;27266;887.22;30.73;27266.22;12019;156;0;1509;3146;1991;526;3238;705;0;2830;0;184;962;50360;1076.65;46.77;50359.11;37;22582;11555;15443;53;153;528;0;45;8114;392;6147;69405;47868;30072;330.54;31.05;10263.92;2360;205;4098;;;;2388;1418;421.64;46.77;19721.60;8718;2984;8815;2964;2191;84;0;17796;7813;3753;2006;4224;12599;8938;3046;2948;2944;0;793;1895;-1329;33;45;1407;0;39078;26479;16212;15795.63;1.68;26478.84;11615.29;1.40;16211.96;292420;289454;239698;121938;105786.79081;14743.550821;48683;51099;17978;0;52721;17167;1765;0;33789;58191;46628;11562;234229;3753;171804;12838;239;28116;14335;0.05;292419.55;14335.33;1206;104;1955.75;0;0;0;0;-164;-164;0;0;0;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;44.29;1014.86;0.00;0;0;0;0;0
1989;(DK) Denmark;77020;2000 - <3000;44.2;1.08;2347.41;0.78;1720.46;0.30;626.96;;0.00;0.00;35.60;33.05;0.15;2.39;7.38;20.22;7.00;0.00;0.26;0.00;0.15;0.11;0.00;0.04;7.92;0.04;0.00;0.04;0.00;52.72;10.35;0.00;0.00;11.13;0.09;29.77;1.10;71.96;5.28;379.78;;0.00;0.00;2.86;7.48;21.36;5977.14;10.35;61890.81;;0.00;0.00;;0.00;0.00;101893;1.13;90328.28;101892.77;35746;1005.20;35.56;35745.90;18398;1758;0;1233;1930;3751;7;6080;361;0;0;0;319;1909;63540;1204.24;52.72;63484.41;1233;22400;8540;31120;40;269;635;0;536;2606;171;5980;90328;56711;40938;317.10;35.60;11288.95;2826;196;4169;;;;2515;1780;561.64;52.72;29608.48;8945;1233;18288;4552;2416;0;0;15772;7424;2525;3184;2639;9870;23748;6101;2106;15541;0;1534;0;266;77;189;0;0;45229;35359;11878;32657.72;1.08;35358.91;15146.36;0.78;11878.13;240128;234809;185203;49467;49400.309506;0;82781;37827;15128;0;54925;17768;7731;0;29426;148928;107293;41636;91199;4603;188029;12122;2253;19615;8269;0.03;240127.62;8269.01;47;1581;960.65;417;0;0;417;176;176;0;0;0;0;0;0;0;2;985;0;0;0;0;0;0;0;0;0;0.00;2222.86;54.02;0;0;0;0;0
1989;(EL) Greece;558240;6000 - <7000;7.9;1.71;2858.35;1.61;2699.16;0.09;159.19;;0.00;0.00;5.90;3.94;1.88;0.08;1.48;2.35;0.75;0.00;0.12;0.31;1.58;0.38;1.18;0.02;0.49;0.29;0.00;0.29;0.01;3.57;0.37;0.00;0.00;0.55;2.20;0.33;0.08;30.40;0.63;19.11;105.75;0.40;42.18;4.27;0.55;2.33;3365.28;0.37;1228.62;;0.00;0.00;;0.00;0.00;13666;2.20;6214.19;13666.30;10918;1946.56;5.61;10917.22;2055;71;0;228;234;69;1988;1069;800;583;1146;1980;501;194;2721;759.91;3.57;2710.02;-3;385;334;279;776;37;63;815;33;28;751;540;6214;3841;2615;206.40;5.90;1218.74;280;54;420;;;;346;173;391.09;3.57;1394.72;1099;465;244;2;52;0;0;1227;197;305;604;120;1378;995;369;390;236;0;14;127;21;36;0;14;0;10765;9388;8414;5502.99;1.71;9387.86;5215.31;1.61;8413.87;55142;55035;52304;43227;33579.300082;13.192139307;2569;4804;1704;0;2839;503;1612;0;724;1779;1220;559;53363;335;22640;427;-951;8709;8388;0.15;55142.15;8387.75;941;827;873.78;521;0;0;521;283;0;40;239;3;0;0;0;0;3;0;0;0;0;0;0;21;0;0;0;0.00;16.49;0.00;0;0;0;0;0
1989;(ES) Spain;656340;8000 - <9000;9.8;1.28;2646.79;0.96;2032.59;0.32;614.20;;0.00;0.00;19.94;13.42;3.75;2.77;4.77;8.42;1.43;0.00;0.26;0.91;2.84;1.24;1.60;0.00;3.75;2.32;0.00;2.32;0.49;9.90;1.96;0.00;0.00;1.65;2.56;2.64;1.06;24.28;1.68;40.72;82.43;0.53;43.35;1.19;3.85;4.57;3926.32;1.96;7694.87;;0.00;0.00;;0.00;0.00;22044;1.36;16174.62;22044.42;13002;738.38;17.61;13000.37;4270;76;0;388;431;417;463;2708;761;717;835;1131;742;63;8834;892.12;9.90;8833.39;232;2624;1489;1831;1127;629;330;695;109;209;43;720;16175;10615;7914;159.43;19.94;3179.04;794;64;1373;;;;671;341;478.14;9.90;4734.37;2525;282;1953;23;256;0;0;2701;601;861;634;605;2963;2597;2022;399;176;0;305;22;-13;16;0;29;0;11582;8619;6009;6751.95;1.28;8619.09;6214.24;0.96;5956.21;137068;130972;114348;90237;66600.212486;888.6298898;11326;7414;5370;0;22721;1703;1084;0;19934;1398;920;478;135670;6263;68743;1013;-1949;8389;7340;0.05;137068.36;7340.32;152;436;398.87;76;0;0;76;243;3;24;215;1;0;0;0;0;110;1;0;0;0;0;0;5;0;0;0;23.22;90.49;0.00;0;0;0;0;0
1989;(FR) France;513030;7000 - <8000;37.5;1.68;3924.43;1.45;3404.81;0.23;519.62;;0.00;0.00;46.24;31.68;2.06;12.49;32.11;15.78;5.41;0.00;0.47;1.68;0.38;0.37;0.00;0.01;22.15;0.35;0.00;0.35;1.04;40.92;10.10;0.00;0.00;17.98;2.35;6.33;4.07;65.56;7.88;516.39;74.31;3.12;231.79;1.37;21.93;30.00;4992.90;10.10;50438.25;;0.00;0.00;;0.00;0.00;80757;1.34;60159.66;80757.03;42114;918.09;45.87;42114.00;16436;1224;0;677;1448;3879;374;4319;2156;16;11078;2;-37;542;35929;877.45;40.92;35903.65;1568;14356;11494;5471;1063;1921;413;721;490;2714;595;2077;60160;39699;25103;275.34;46.24;12730.68;2788;175;5378;;;;3521;1044;302.02;40.92;12358.29;6113;1459;4971;443;1288;0;0;14596;3719;2571;3298;5008;10076;10385;3019;3704;3662;0;2421;40;524;524;0;0;0;40794;30718;20857;18232.95;1.68;30717.86;14334.45;1.45;20848.32;194352;183792;121185;47823;41587.833894;611.1620098;21542;31311;20509;0;73166;14126;20819;0;38221;62580;42959;19620;131772;7607;148964;11002;926;27530;19895;0.10;194351.55;19894.82;-264;2116;1429.67;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.58;249.23;10.59;0;0;0;0;0
1989;(IE) Ireland;134900;1000 - <2000;18.9;1.30;3149.25;1.16;2811.53;0.14;337.73;;0.00;0.00;41.28;6.56;0.00;34.72;4.20;2.76;0.44;0.00;0.03;0.00;0.00;0.00;0.00;0.00;38.03;0.01;0.00;0.01;0.00;48.91;11.11;0.00;0.00;27.07;6.61;3.30;0.58;76.58;0.60;46.06;;0.00;0.00;1.18;37.95;44.78;4318.70;11.11;47972.65;;0.00;0.00;;0.00;0.00;35319;1.35;26234.97;35318.73;4267;103.41;41.26;4266.89;2578;7;0;530;497;0;0;107;0;0;0;0;308;240;30473;623.03;48.91;30473.26;648;14015;11517;2071;2015;450;76;0;329;579;483;1189;26235;19086;12949;96.50;41.28;3983.12;384;43;2902;;;;368;328;183.31;48.91;8966.13;5089;1128;1874;17;2003;0;0;6137;2879;858;1372;1028;3543;3606;1352;678;1576;0;67;0;533;241;292;0;0;18037;14494;11420;11147.21;1.30;14494.01;9672.93;1.16;11227.37;209453;204235;178150;134709;134705.10661;0;14189;11853;17399;0;31304;19924;2321;0;9059;12495;9099;3396;196958;3304;78029;5810;2267;13844;10770;0.05;209453.27;10769.80;1804;1871;2237.19;0;0;0;0;1871;-74;944;983;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;187.46;0.26;0;0;0;0;0
1989;(IT) Italy;1194310;10000 - <20000;13.1;1.42;3299.35;1.32;3063.38;0.10;235.97;;0.00;0.00;10.51;6.22;2.03;2.26;3.20;3.27;0.64;0.00;0.22;0.73;1.30;0.63;0.65;0.01;4.09;0.23;0.00;0.23;0.62;6.46;2.00;0.00;0.00;2.30;0.82;1.02;0.22;46.54;0.56;26.20;93.27;0.68;63.00;1.32;3.56;4.70;4515.87;2.00;9044.12;;0.00;0.00;;0.00;0.00;25831;1.77;14629.24;25830.75;16804;1638.73;10.25;16804.43;3342;419;0;183;561;176;346;2170;1901;752;3199;1176;2171;409;8701;1347.24;6.46;8697.06;-4;4178;2104;1077;372;101;115;562;192;325;502;2027;14629;9976;7442;270.08;10.51;2838.35;698;40;1064;;;;663;413;712.84;6.46;4601.73;3555;1919;834;65;215;0;0;2534;666;685;659;524;2873;1781;1196;372;213;0;216;-0;74;76;0;2;0;15643;12770;11064;8975.90;1.42;12770.49;8369.36;1.32;11061.87;123491;124737;116393;85158;77162.370885;1249.3894472;14994;12115;4126;0;7098;2667;3156;0;1275;2256;2053;203;121235;-1143;45767;1508;-1365;13177;11591;0.09;123491.48;11591.38;-212;5;614.68;0;0;0;0;5;-0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.20;118.16;17.55;0;0;0;0;0
1989;(LU) Luxembourg;2260;200 - <500;42.9;1.69;4010.32;1.56;3717.65;0.12;292.67;;0.00;0.00;49.09;20.85;0.43;27.81;23.78;12.08;1.10;0.00;0.00;0.43;0.00;0.00;0.00;0.00;35.41;0.07;0.00;0.07;2.92;69.88;26.33;0.00;0.00;38.43;0.01;5.04;0.02;46.63;3.78;176.27;;0.00;0.00;1.83;35.47;64.77;4940.26;26.33;130091.23;;0.00;0.00;;0.00;0.00;96948;1.45;66871.73;96947.71;20365;415.44;49.02;20365.04;8543;161;0;1484;0;470;0;3;0;0;9441;0;89;174;70443;1008.12;69.88;70442.64;2259;44455;20859;5087;-3;-2;28;0;18;6140;642;7508;66872;45232;29135;177.28;49.09;8702.81;1658;83;4781;;;;1118;1146;290.74;69.88;20315.41;14535;6529;2874;858;2906;117;0;16098;7003;2274;2521;4299;14117;7523;1218;3014;3291;0;163;3174;1116;4467;244;3595;0;54108;39991;33585;23733.47;1.69;39991.15;21500.46;1.56;33584.55;305338;282727;225061;69860;58565.984506;8844.0542415;67782;54262;33157;0;80277;21385;7748;0;51144;50595;42178;8416;254744;19814;229080;26671;12554;43846;20998;0.07;305338.39;20998.22;2393;-618;654.90;0;0;0;0;-722;-722;0;0;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;215.83;1015.75;0.00;0;0;0;0;0
