YEAR;COUNTRY;SYS02;SYS03;SE005;SE010;SE011;SE015;SE016;SE020;SE021;SE022;SE022D;SE022N;SE025;SE026;SE027;SE028;SE030;SE035;SE041;SE042;SE046;SE050;SE054;SE055;SE060;SE065;SE071;SE072;SE073;SE074;SE075;SE080;SE085;SE086;SE087;SE090;SE095;SE100;SE105;SE110;SE110D;SE110N;SE115;SE115D;SE115N;SE120;SE120D;SE120N;SE125;SE125D;SE125N;SE126;SE126D;SE126N;SE127;SE127D;SE127N;SE131;SE132;SE132D;SE132N;SE135;SE136;SE136D;SE136N;SE140;SE145;SE146;SE150;SE155;SE160;SE165;SE170;SE175;SE180;SE185;SE190;SE195;SE200;SE206;SE207;SE207D;SE207N;SE211;SE216;SE220;SE225;SE230;SE235;SE240;SE245;SE251;SE256;SE260;SE265;SE270;SE275;SE281;SE284;SE284D;SE284N;SE285;SE290;SE295;SE296;SE297;SE298;SE300;SE305;SE309;SE309D;SE309N;SE310;SE315;SE320;SE325;SE330;SE331;SE332;SE336;SE340;SE345;SE350;SE356;SE360;SE365;SE370;SE375;SE380;SE381;SE390;SE395;SE405;SE406;SE407;SE408;SE409;SE410;SE415;SE420;SE425;SE425D;SE425N;SE430;SE430D;SE430N;SE436;SE437;SE441;SE446;SE447;SE448;SE450;SE455;SE460;SE462;SE465;SE470;SE475;SE476;SE480;SE485;SE490;SE495;SE501;SE506;SE510;SE516;SE521;SE526;SE530;SE532;SE532D;SE532N;SE600;SE605;SE606;SE610;SE611;SE612;SE613;SE615;SE616;SE617;SE618;SE619;SE621;SE622;SE623;SE624;SE625;SE626;SE630;SE631;SE632;SE640;SE650;SE699;SE700;SE705;SE710;SE715;SE720;SE725;SE730;SE750;SE765;SE766;SE770
2004;(ALL) EU;4019270;70000 - <80000;62.4;1.66;3562.56;1.26;2729.18;0.40;833.38;;0.00;0.00;35.08;23.81;2.36;8.90;18.10;12.85;3.48;0.03;0.41;0.73;1.64;0.74;0.86;0.04;14.04;0.65;1.16;1.82;1.61;29.89;5.81;0.00;0.00;9.65;2.80;8.55;2.94;66.03;4.66;307.86;88.60;1.43;126.53;1.29;13.78;17.81;6143.50;5.81;35691.57;;0.00;0.00;;0.00;0.00;60630;1.14;53149.83;60629.52;30715;921.83;33.14;30552.28;7513;212;20;1280;1471;1118;596;7277;2094;586;4327;1384;1478;1377;26681;887.24;29.89;26516.54;41;10560;4712;6372;1117;1285;811;891;932;3233;458;2661;53150;34950;21208;251.60;35.08;8825.26;2598;187;2825;;;;2208;1236;410.35;29.89;12264.13;5749;1843;4814;625;1753;25;0;13742;3322;3523;2504;4393;8427;9773;5244;2759;1770;1641;715;424;51;307;2;-258;0;36088;27662;17940;16650.06;1.66;27661.80;14101.81;1.26;17727.66;276862;270332;230797;146933;120818.17352;8595.8139974;43450;29443;10971;0;46065;8281;7589;0;30195;41585;31062;10521;235277;4687;136662;8950;523;25050;17870;0.06;276862.07;17869.10;10409;10700;8716.10;5460;3709;361;1390;2755;411;1745;443;156;917;684;43;1643;155;93;324;0;324;0;0;271;0;0;0;229.60;816.13;220.01;0;0;0;0;0
2004;(AT) Austria;91070;1000 - <2000;50.7;1.55;3481.13;1.45;3283.94;0.09;197.19;;0.00;0.00;30.67;16.05;0.66;13.93;9.06;9.40;2.70;0.06;0.12;0.50;0.16;0.15;0.00;0.01;16.63;0.16;0.93;1.10;13.96;24.83;6.12;0.00;0.00;8.10;1.28;8.01;1.09;57.81;3.24;187.37;102.38;2.09;214.10;0.96;16.09;15.50;5917.34;6.12;36208.82;;0.00;0.00;;0.00;0.00;53625;1.08;49634.51;53624.67;14632;494.68;29.58;14631.94;4808;133;50;803;1833;868;128;779;1023;0;3616;0;152;488;27394;1103.16;24.83;27392.87;-238;10339;5181;7500;726;537;1064;1691;355;11599;1471;2230;49635;31516;14065;133.17;30.67;4084.99;1462;51;1259;;;;919;445;400.01;24.83;9932.86;3898;1115;4229;821;1805;47;0;17452;5408;3040;3235;5768;13636;4482;1122;1746;1613;1085;671;2405;-1045;1124;0;-2168;0;42554;28918;23392;18692.74;1.55;28918.26;16104.55;1.45;23391.65;351358;347237;281067;82474;22336.853522;54446.840566;138507;52343;7744;0;70291;5980;7183;0;57128;36464;27497;8968;314894;2109;272848;14961;1325;35056;21954;0.06;351357.86;21953.66;20446;18713;7746.58;4315;3470;298;546;3458;379;2771;5;304;7614;2578;51;10243;155;362;0;0;0;0;0;180;0;0;0;4648.31;1966.74;1144.13;0;0;0;0;0
2004;(BE) Belgium;35530;1000 - <2000;188.5;1.87;5006.06;1.54;4231.84;0.32;774.23;;0.00;0.00;40.79;24.12;0.56;16.10;30.49;8.83;6.10;0.00;1.61;0.00;0.56;0.49;0.00;0.07;22.99;0.02;0.44;0.46;0.00;106.18;16.54;0.00;0.00;38.39;0.08;43.34;7.72;88.15;6.08;536.35;119.94;1.35;161.34;2.44;22.59;55.01;5841.99;16.54;96607.99;;0.00;0.00;;0.00;0.00;167043;1.23;135908.6;167043.02;64565;1604.04;40.25;64565.46;7485;116;0;5773;8441;93;1911;30067;6068;0;2;0;624;3985;99450;936.66;106.18;99449.94;1782;28708;25632;33604;33;8051;1417;108;1898;3028;265;3776;135909;94916;68132;510.68;40.79;20830.64;8024;759;5663;;;;5009;2134;445.50;106.18;47301.19;13237;2464;26326;551;7738;0;0;26784;7311;7750;7486;4237;19741;21252;6852;7094;7306;7306;1421;1523;-1552;495;0;-2046;0;88409;68667;45864;36816.56;1.87;68667.43;29696.79;1.54;45863.94;408144;402442;341944;163342;140063.95385;0;81572;47684;49346;0;66201;39314;5758;0;21129;120272;119731;540;287873;10110;252550;22914;3173;63313;36036;0.09;408144.50;36036.32;16281;16179;13697.90;4440;4116;173;151;8346;1111;7228;5;2;746;296;0;1043;0;1370;0;0;0;0;0;981;0;0;0;0.00;855.19;67.12;0;0;0;0;0
2004;(CY) Cyprus;14270;200 - <500;47.1;1.57;3649.98;1.12;2582.47;0.45;1067.50;;0.00;0.00;10.21;8.62;1.59;0.00;6.91;4.69;0.31;0.00;0.33;0.37;1.22;0.66;0.56;0.00;2.75;0.00;0.54;0.54;0.05;14.58;1.82;0.00;0.00;0.51;4.82;4.74;2.69;47.57;0.00;0.14;;0.00;0.00;2.71;2.58;6.98;5804.92;1.82;10583.11;;0.00;0.00;;0.00;0.00;33547;1.03;32486.36;33547.31;16061;1660.55;9.67;16061.02;1486;11;0;1080;0;102;641;6452;1663;1020;815;862;1714;215;17474;1174.89;14.58;17134.98;318;4074;552;2340;3202;1917;1458;3584;347;12;555;1554;32486;20986;15064;385.93;10.21;3940.30;1388;56;1439;;;;881;233;759.95;14.58;11083.33;6669;1483;3839;15;616;0;0;5922;2548;1962;624;788;5857;5643;3728;1135;781;781;37;-54;-1;0;0;-1;0;17636;11779;6136;7504.96;1.57;11779.06;5493.27;1.12;6135.58;144805;149999;116131;75941;68444.854079;0;14152;19838;6201;0;28674;3428;615;0;24632;10817;8358;1917;133988;-4651;80667;-281;-6138;10646;9797;0.07;144805.03;9796.59;5075;5166;5166.28;2778;0;0;2778;1727;349;239;1139;0;0;0;0;0;0;0;661;0;661;0;0;0;0;0;0;0.00;0.00;0.00;0;0;0;0;0
2004;(CZ) Czechia;15930;1000 - <2000;232.3;8.17;16955.36;1.36;3050.79;6.81;13904.57;;0.00;0.00;227.94;167.74;1.41;58.80;206.68;101.95;35.48;0.01;1.63;0.51;0.89;0.86;0.00;0.03;86.26;1.21;0.00;1.21;0.12;131.36;29.90;0.00;0.00;39.22;0.55;49.97;11.23;58.28;53.53;3119.51;65.41;4.95;323.51;0.81;86.22;69.63;5821.10;29.90;174024.39;;0.00;0.00;;0.00;0.00;237951;0.97;246037.5;237950.90;120671;531.78;226.74;120574.0;52825;681;1;6998;10756;14791;1697;8052;1492;0;1682;0;18251;3446;100982;768.76;131.36;100981.4;-2234;43511;11995;34374;155;5240;5330;81;297;16297;454;27754;246037;172458;107809;165.31;227.94;37680.94;12209;873;11097;;;;12315;2105;533.43;131.36;70068.77;32310;22155;29417;4734;8345;10;0;64650;14848;18593;9041;22168;19019;54560;46138;5659;2763;2137;3364;0;641;641;0;0;0;97240;78222;24303;9578.04;8.17;78221.65;9995.01;1.36;13554.89;576519;556175;432364;41549;33838.85751;1572.1852902;198838;160879;31097;0;144155;27339;29584;0;87232;137624;80163;57461;438894;18435;533411;18968;-51;37104;18989;0.03;576518.76;18988.77;31748;35112;24171.10;7507;0;0;7507;2859;0;942;62;1855;2373;5239;64;7677;1971;1261;12462;0;12462;0;0;1375;0;0;0;76.98;7365.79;110.77;0;0;0;0;0
2004;(DE) Germany;213160;6000 - <7000;195.9;2.19;4840.03;1.42;3136.23;0.77;1703.80;;0.00;0.00;74.75;55.02;0.72;19.02;52.62;31.25;11.36;0.08;0.53;0.43;0.29;0.22;0.00;0.07;27.10;0.11;3.68;3.80;3.89;79.93;19.87;0.00;0.00;23.01;0.82;32.10;3.90;76.69;14.31;1097.34;82.51;1.12;92.75;1.69;25.84;43.70;6760.93;19.87;134352.22;;0.00;0.00;;0.00;0.00;159626;1.01;157501.3;159625.96;59799;842.77;70.96;59799.36;21357;482;38;3169;6614;5926;1024;11542;1344;0;5061;0;1417;1864;82703;1034.55;79.93;82696.97;-485;39776;11677;26111;262;2082;1462;16;1317;17124;241;6653;157501;103123;54653;292.40;74.75;21857.50;6185;400;6773;;;;6080;2821;409.29;79.93;32716.28;12695;3491;14196;2761;5825;79;0;48470;11726;12629;6872;17243;22551;31827;15325;11352;5149;4827;1954;2156;-1340;207;0;-1547;0;85685;63134;29967;28825.46;2.19;63133.77;20051.59;1.42;28457.91;698211;694725;606330;423038;320010.49352;100153.61404;81900;73766;27625;0;91881;25616;4633;0;61632;118038;77071;40967;580173;4463;278492;22197;-354;51988;28475;0.04;698211.00;28474.79;29182;28981;21964.38;16280;14303;1762;215;5434;1217;3101;125;992;3061;1571;63;4695;1906;635;0;0;0;0;0;31;0;0;0;742.58;2937.99;130.06;0;0;0;0;0
2004;(DK) Denmark;33850;1000 - <2000;204.0;1.58;3074.84;0.91;1882.83;0.67;1192.01;;0.00;0.00;77.98;73.59;0.34;4.05;22.64;44.05;11.26;0.11;0.38;0.00;0.34;0.27;0.00;0.07;16.45;0.01;5.50;5.50;0.00;124.68;16.12;0.00;0.00;16.52;0.34;85.81;5.46;71.47;20.93;1496.05;;0.00;0.00;2.15;15.29;32.88;7873.92;16.12;126894.68;;0.00;0.00;;0.00;0.00;215951;0.92;234558.1;215950.79;62347;857.28;72.48;62136.56;28520;422;94;3963;4608;3128;31;13823;716;0;0;0;886;6249;140213;1067.33;124.68;133073.8;3623;39569;6880;76994;134;3248;1579;0;11810;13390;117;7140;234558;140454;94621;275.00;77.98;21446.01;6836;207;5732;;;;5650;3284;561.18;124.68;69967.45;14106;1245;47574;5688;10634;804;0;45833;15798;8624;10892;10520;29291;64813;21329;10124;33361;31847;3971;0;256;256;0;0;0;100147;70856;6299;44786.62;1.58;70856.42;6906.51;0.91;6299.15;1235059;1088314;1052728;309940;256617.06978;11289.948735;608264;108889;25636;0;182330;42897;21483;0;117951;716397;670310;46086;518662;76270;866262;63041;33750;30544;37367;0.03;1235058.94;37366.80;24650;28621;27272.20;21259;17633;1840;1786;5385;1118;4216;47;5;1115;29;0;1144;0;538;0;0;0;0;0;295;0;0;0;927.04;6556.00;193.16;0;0;0;0;0
2004;(EE) Estonia;8130;200 - <500;50.4;2.86;6522.11;1.36;3212.56;1.50;3309.55;;0.00;0.00;106.42;77.92;1.33;27.17;64.75;36.02;10.30;0.00;0.30;0.00;1.33;1.32;0.00;0.01;49.32;6.62;0.00;6.62;13.00;32.81;12.09;0.00;0.00;9.83;0.43;9.50;0.83;25.65;10.43;267.58;;0.00;0.00;0.49;45.33;22.35;5656.40;12.09;68378.13;;0.00;0.00;;0.00;0.00;51617;1.05;49102.46;51617.06;21345;218.18;97.83;21344.59;8750;153;0;1677;0;2221;13;2491;316;0;0;0;4568;1156;24966;755.52;32.81;24786.82;536;16040;1871;5858;78;73;842;2;202;5307;579;8606;49102;35568;24240;75.88;106.42;8075.20;2505;974;2874;;;;1225;1471;489.50;32.81;16059.21;9581;6776;3999;856;2499;86;0;11328;2659;4846;1226;2597;5770;7765;6666;354;744;737;207;173;3120;3212;0;-92;0;26137;20367;15722;7120.05;2.86;20366.85;7456.64;1.36;10122.50;119984;101067;90968;19479;11627.592444;7637.6539682;42658;21369;7462;0;29016;5438;8627;0;14951;25134;14436;10698;94850;10831;92120;15054;9284;18689;11717;0.10;119983.59;11716.66;10088;10121;5751.82;1766;0;0;1766;1336;0;0;30;1306;3170;912;103;4185;0;0;2582;0;2582;0;0;252;0;0;0;648.67;1345.53;27.27;0;0;0;0;0
2004;(EL) Greece;390320;4000 - <5000;15.6;1.34;3106.74;1.14;2664.14;0.20;442.60;;0.00;0.00;7.46;4.99;2.25;0.23;3.13;3.01;1.10;0.00;0.13;0.27;1.97;0.37;1.59;0.01;0.66;0.13;0.18;0.31;0.01;5.95;0.29;0.00;0.00;0.60;4.81;0.05;0.18;31.23;0.24;7.51;115.94;0.52;60.35;6.60;0.60;3.93;4339.16;0.29;1250.25;;0.00;0.00;;0.00;0.00;20045;1.57;12745.67;20045.33;14542;2034.11;7.15;14537.56;1783;106;0;308;252;7;2559;2373;1279;989;1277;2683;749;177;5236;864.33;5.95;5143.94;-206;442;268;24;1345;158;89;2544;366;268;738;680;12746;7965;5182;364.34;7.46;2718.47;624;57;1071;;;;781;242;410.45;5.95;2442.72;1985;621;324;1;153;3;0;2783;446;1048;896;393;2603;2178;1221;916;41;41;59;1;56;73;0;-17;0;16934;14331;12209;10695.02;1.34;14331.31;10686.77;1.14;12209.06;78299;80810;74273;54299;42550.017188;53.05664577;5339;11079;3556;0;4026;1057;977;0;1992;503;330;171;77796;-2554;38838;495;-2107;14048;13660;0.17;78299.25;13660.50;4854;4911;4487.50;3543;1151;37;2356;894;9;182;683;19;7;390;16;415;0;0;0;0;0;0;0;59;0;0;0;0.00;107.26;3.92;0;0;0;0;0
2004;(ES) Spain;580800;8000 - <9000;46.5;1.47;2984.21;1.07;2179.74;0.40;804.46;;0.00;0.00;34.06;18.89;7.16;8.02;10.70;11.54;2.04;0.00;0.35;1.58;5.58;2.55;3.03;0.00;9.27;1.19;2.50;3.69;0.59;20.43;1.58;0.00;0.00;4.53;3.64;8.72;1.88;34.53;1.88;64.93;106.95;0.79;84.83;0.95;8.97;8.55;5843.20;1.58;9253.69;;0.00;0.00;;0.00;0.00;46244;1.67;27740.80;46244.08;30434;1000.14;30.35;30357.14;5680;131;0;806;627;275;696;8191;3762;1902;2938;4036;1142;248;15331;747.83;20.43;15280.25;-59;2906;2648;4424;1799;1240;45;1648;621;478;104;1115;27741;19115;13514;157.14;34.06;5352.58;1397;41;2218;;;;1421;328;397.52;20.43;8122.32;4181;1049;3279;25;672;18;0;5601;1136;1673;1068;1724;2376;6250;4826;1169;255;251;286;441;-93;78;0;-171;0;34388;32012;25668;21766.83;1.47;32011.65;23864.53;1.07;25639.96;217624;211293;148577;113225;98878.029347;496.82531785;18306;9456;7591;0;69047;2970;2005;0;64072;5752;5194;558;211872;6092;113631;2300;-76;27504;25497;0.12;217624.24;25497.71;7259;7103;6620.67;4655;2475;360;1820;1919;244;1063;592;20;89;196;13;298;15;20;0;0;0;0;0;196;0;0;0;0.29;246.92;10.77;0;0;0;0;0
