DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT:Austria,2020,110780,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT11:Burgenland,2020,5400,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT12:Niederösterreich,2020,28770,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT13:Wien,2020,460,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT21:Kärnten,2020,10290,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT22:Steiermark,2020,22460,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT31:Oberösterreich,2020,22570,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT32:Salzburg,2020,7250,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT33:Tirol,2020,10720,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,AT34:Vorarlberg,2020,2870,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE:Belgium,2020,36000,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,60,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE21:Prov. Antwerpen,2020,3690,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE22:Prov. Limburg (BE),2020,2840,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE23:Prov. Oost-Vlaanderen,2020,6020,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE24:Prov. Vlaams-Brabant,2020,2700,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE25:Prov. West-Vlaanderen,2020,7970,,
