STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT,Austria,2020,,110780,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT11,Burgenland,2020,,5400,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT12,Niederösterreich,2020,,28770,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT13,Wien,2020,,460,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT21,Kärnten,2020,,10290,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT22,Steiermark,2020,,22460,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT31,Oberösterreich,2020,,22570,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT32,Salzburg,2020,,7250,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT33,Tirol,2020,,10720,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,AT34,Vorarlberg,2020,,2870,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE,Belgium,2020,,36000,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,,60,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE21,Prov. Antwerpen,2020,,3690,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE22,Prov. Limburg (BE),2020,,2840,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE23,Prov. Oost-Vlaanderen,2020,,6020,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE24,Prov. Vlaams-Brabant,2020,,2700,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE25,Prov. West-Vlaanderen,2020,,7970,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE31,Prov. Brabant wallon,2020,,1030,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE32,Prov. Hainaut,2020,,3910,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE33,Prov. Liège,2020,,3100,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE34,Prov. Luxembourg (BE),2020,,2340,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BE35,Prov. Namur,2020,,2330,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG,Bulgaria,2020,,132740,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG31,Severozapaden,2020,,15230,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG32,Severen tsentralen,2020,,14880,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG33,Severoiztochen,2020,,16350,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG34,Yugoiztochen,2020,,18360,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG41,Yugozapaden,2020,,25190,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,BG42,Yuzhen tsentralen,2020,,42740,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH,Switzerland,2020,,19730,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH01,Région lémanique,2020,,2680,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH02,Espace Mittelland,2020,,6110,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH03,Nordwestschweiz,2020,,1630,,,,,
